"Rank","Probability"
36125,0.0154864980374515
21374,0.0034990650195147
21199,0.0034744590236573
22868,0.00376291255688701
10571,0.0024106306434831
39594,0.0302546076720109
21852,0.00358180546186073
11079,0.0024460663591846
6017,0.00208373221518398
30519,0.00689340515085154
11202,0.00245465170956598
9537,0.00233460660475069
13342,0.00261903720632384
28409,0.00553048953485032
9240,0.00231266501906315
34989,0.0129256379663131
34863,0.0126547122617743
36918,0.0177824330496104
32706,0.00918572288515275
33566.5,0.0104143750132307
30142,0.00659477148842396
31912,0.00819876214595134
35985,0.0150960578553646
42671,0.0746947935344339
44713,0.174772340162878
26749,0.00482035315174611
765,0.00149681297786954
22784,0.00374716054595616
10162,0.00238004262465789
8698,0.00227202654627736
13249,0.00261135282144551
18593,0.00312555419434884
20507,0.0033725282204378
1648,0.0016756033256721
7374,0.00218009171785374
21718,0.00355932437783592
24938,0.00422663086116946
24372,0.00408468373449117
8496,0.0022580916827367
9681,0.0023453853745182
21631,0.00354448101332599
20314,0.00334583879539651
26501,0.00472229267347037
22757,0.00374241072110758
24082,0.00401732615672181
31129,0.00741135712365592
45899,0.321060908356094
43226,0.0921113139679135
45103,0.214799822758055
45594,0.27226548264325
44385,0.151766143282486
11757,0.00249778567685395
10606,0.00241376976616977
5334,0.00203390014316017
3846,0.0019167645660806
41977,0.0587332195613692
33844,0.0108315794436105
24808,0.00419544024744553
35621,0.0142495828656293
37317,0.0190095493894371
19744,0.00326680279660608
38439,0.0237244226052706
46075,0.348895591337578
29755,0.00631546528689425
2362,0.00176751897531899
2258,0.00175317896286034
15525,0.00280568262365091
14228,0.0026936249813549
34588,0.012145729739197
46062,0.346845129553334
32475,0.00886406250524028
47203,0.576754221352005
38946,0.0263202989116594
30299,0.00671182424098422
17424,0.00299318472141684
8222,0.00224075078306143
18992,0.00317582385417007
13726,0.00265089414445863
28272,0.005467444904078
26296,0.00464683217533057
16990,0.00294927992150946
3139,0.00185174591280672
9483,0.00232965733859586
33203,0.00987269642468823
25153,0.00428714734269306
25690,0.00445065671096791
13098,0.00259996842060764
23796,0.0039580046424488
16756,0.00292146671149927
27294,0.0050311311409836
11912,0.00251040806009514
10530,0.0024070428843021
3415,0.00187646884059544
3887,0.00192025998347828
12617,0.00256512024897904
8764,0.00227779033598875
14807,0.00274548051388389
27550,0.00513439839758485
5122,0.00201729472056303
7865,0.0022131053123398
3539,0.00188828664169293
4472,0.00196457990205129
15090,0.00276944774644585
26984,0.00490180373671571
22154,0.00363349843935313
13414,0.00262453878771752
20586,0.00338311642569162
21785,0.00357134320456364
19986,0.00330035946152291
20036,0.00330708884910798
10845,0.00243159495024037
30682,0.00702828330609379
16569,0.00290254239053126
23583,0.00390945518743478
23089,0.00380471219669651
25641,0.00443400351929951
5095,0.00201534683559601
12145,0.00252800839909813
19720,0.00326368690761947
31192,0.00746944331924125
2772,0.00181414897330205
48911,0.925465327745452
49174,0.95117529918062
49684,0.988097502431659
49644,0.985799430931341
48762,0.905369614537847
49346,0.967470975408569
49661,0.986552746630152
36915,0.0177475653603761
33363,0.0101059398437423
31110,0.00739386532315688
39367,0.0286867213054159
33094,0.00972337081363896
32678,0.00914724157099799
32255,0.00860466467289312
34188,0.0114403511313045
37046,0.0181768177527702
33617,0.0104946000915038
28403,0.0055271398309908
7137,0.00216383789323508
24067,0.00401487409565914
4763.5,0.00198862834299886
2326,0.00176252339012498
1437,0.00164146216778505
24838,0.0042016447327394
22118,0.00362676271475319
33193,0.00984494688876109
33890,0.010905716362628
33708,0.0106536557231754
32216,0.00855736402616391
36005,0.0151498413751757
35420,0.0138276473232941
43458,0.101380179334064
40642,0.0392138134704819
40802,0.0408918234404439
40983,0.0427014958104707
38569,0.0243517760247385
14929,0.00275570890479987
31575,0.00783046474586899
23812,0.00396047584405216
30601,0.0069555383318079
34973,0.0128855567159009
27310,0.00503681112558451
11980,0.00251649339141855
6580,0.00212448248195289
20629,0.00338866839631022
4645,0.00197786765960882
2605,0.00179600916282853
3567,0.00189036499057476
17035,0.00295390727587325
23554,0.00390163698936628
15184,0.00277714879468313
23011,0.00379152953147283
14405,0.00270987667743803
8257,0.00224259119085413
39602,0.0303052887861335
32966,0.00955075307496631
48002,0.764316820741943
5719,0.00206279692580482
10326,0.00239182133664274
16906,0.00294004958919001
8578,0.0022640928689935
11808,0.00250191353314865
2237,0.00175020394619802
2528,0.00178787083668764
1548,0.00165977210303899
1758,0.00169045192077269
2290,0.00175760335543435
4918,0.00200159199761691
6718,0.00213456529729305
11552,0.00248121488673892
19674,0.00325724994688126
4768,0.00198892127372209
1500,0.00165147517536659
1308,0.00161867705722485
484,0.00139201410589699
793,0.00150391209014638
11555,0.00248175704201735
11211,0.00245523233942875
6958,0.00215127625403721
4578,0.00197297796809117
4400,0.00196050623927921
3351,0.00187221358176393
5374,0.00203685184632609
27422,0.00507929591521208
11383,0.0024680702577202
21557,0.00353325905880122
26310,0.0046496360309132
25300,0.00433088250739628
25459,0.00437737028089763
9849,0.00235754156890107
18147,0.00307152537484966
23083,0.00380359598413777
20449,0.00336398812130357
28758,0.00572580877312993
23556,0.00390284438102148
12913,0.00258489846493508
18624,0.00313048573739833
12458,0.0025518654009734
17203,0.00297057233758641
30442,0.00682252899929249
25873,0.00450603512884579
19357,0.00322054347160078
15122,0.00277278499409921
26017,0.00455028083208847
24530,0.00411985032781141
39800,0.0318475187728385
27315,0.00503844011601219
29471,0.00612862741780396
43191,0.0906850083708637
43073,0.0867394163587165
42419,0.0682149509534315
47225,0.582225137265548
39998,0.0334338201549465
40350,0.0365592251304956
42103,0.0610284967584827
38280,0.0230134088201392
42290,0.0649770470619579
43135,0.0885239008272596
41580,0.0512124511923592
34090,0.0112817736937636
35337,0.0136443573429234
29850,0.00638062501304277
32938,0.00951394246358598
29738,0.00630082007322911
31994,0.00829986001425431
27996,0.00533425041516616
38869,0.0259695238866818
30483,0.00686416771796213
42922,0.0819164122342154
45005,0.204595416678306
35292,0.0135327140936624
31112,0.00739431092398566
36289,0.0159446985669607
30112,0.0065743624549849
33870,0.0108631942443622
31690,0.00797229617967204
32045,0.0083555888452352
33168,0.00980768369149857
37814,0.0210124568026781
31546,0.00779499677151465
39395,0.0288668213337079
35715,0.0144511047138247
38158,0.0223947036498255
36530,0.0165975732553485
27969,0.00532206935526246
40735,0.0401540073459043
30443,0.00682294951228606
35357,0.0136991889645842
37358,0.0191708527848539
32062,0.00837162899203525
35638,0.0142760884075248
37839,0.0210942791075839
34183,0.0114353926170613
29731,0.00629237430100352
36393,0.0162257042448424
36795,0.017395477728035
34728,0.0123628298041571
33912,0.0109476075195773
32183,0.00851092629255533
29921,0.00643181380285167
38502,0.0240221638831516
36531,0.0166007338936793
38341,0.0232966591920602
31515,0.00777036687236152
37007,0.0180335541868691
46957,0.526185057353638
45989,0.335241757347398
42260,0.0644058618360925
35627,0.0142589072596405
33206,0.00987797094726914
36699.5,0.017089053096806
33911,0.0109475228939786
35581,0.0141679118628309
34105,0.0113035627223552
28471,0.0055653390143757
34578,0.0121242572725594
36664,0.0169842185677918
22699,0.00373000969381774
34733,0.0123759814672151
37693,0.0205254817174979
39277,0.0281729884930166
38846,0.0258491366834783
32908,0.00947411963057818
32131,0.00844574859380757
35649,0.0143051612448958
24296,0.00406864784025579
32471,0.00886089503003039
32791,0.0093174009751143
30421,0.00680882212275518
30139,0.00659322194978797
30533,0.00690011910522574
24991,0.00424099177930771
46290,0.387815210234801
47289,0.600003016486129
27363,0.0050573447302045
33499,0.0102990115973116
24703,0.00416344765053292
31264,0.00752420064475001
35242,0.0134201467826426
37408,0.0193870961390699
31436,0.00769413313984146
17831,0.00303606010442312
32571,0.00899688505486794
28400,0.00552158616604584
38602,0.0245304275509482
43197,0.0909368123284661
41525,0.0503311351179367
45921.5,0.323700419465351
41165.5,0.0449335863337541
43643,0.110169536906027
29022,0.00586273158014263
28184,0.00541900155107744
37537,0.0199002351678765
34422,0.0118814725356427
34404,0.0118465301669124
33076,0.00970212922968145
37647,0.0203484639719486
33715,0.0106665098105148
28014,0.00534023584854225
29133,0.00593607809133073
